#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
98,00000013 2fa7da10,"     FADD.FTZ R11, R9, R2 ",7,8,5,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
99,00000013 2fa7da20,"     FADD.FTZ R12, R10, R5 ",6,1,0,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,00000013 2fa7da30,"     SHFL.DOWN PT, R6, R11, 0x1, 0x1f ",5,2,2,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
101,00000013 2fa7da40,"     SHFL.DOWN PT, R13, R12, 0x1, 0x1f ",6,2,2,4096,131072,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
102,00000013 2fa7da50,@P0  EXIT ,6,0,0,4096,126976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,00000013 2fa7da60,"     MOV R5, 0x4 ",7,5,1,4096,4096,,,,,,,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,00000013 2fa7da70,"     FADD.FTZ R7, R11, R6 ",8,2,1,4096,4096,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,00000013 2fa7da80,"     FADD.FTZ R9, R12, R13 ",7,1,1,4096,4096,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,00000013 2fa7da90,"     IMAD.WIDE R2, R0, R5, c[0x0][0x180] ",7,0,0,4096,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,00000013 2fa7daa0,"     IMAD.WIDE R4, R0, R5, c[0x0][0x188] ",6,0,0,4096,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,00000013 2fa7dab0,"     RED.E.ADD.F32.FTZ.RN.STRONG.GPU [R2], R7 ",3,2,2,4096,4096,Global,,32,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
109,00000013 2fa7dac0,"     RED.E.ADD.F32.FTZ.RN.STRONG.GPU [R4], R9 ",2,2,2,4096,4096,Global,,32,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
110,00000013 2fa7dad0,     EXIT ,1,0,0,4096,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,00000013 2fa7dae0,     BRA 0x132fa7dae0,0,9,6,,,,,,,,,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
112,00000013 2fa7daf0,     NOP,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
