#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,Memory L2 Transactions Local,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
149,00000013 2fa94140,"     STL.128 [R3+0x10], R4 ",,67,53,51200,1638400,Local,Store,128,,,,819200,0,0,0,0,10,0,0,0,27,0,0,4,1,20,0,0,5,0,0,0,0,10,0,0,0,26,0,0,0,0,14,0,0,3
150,00000013 2fa94150,"     IADD3 R2, R2, 0x1, RZ ",,5,0,51200,1638400,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,00000013 2fa94160,"     ISETP.GE.AND P0, PT, R2, R33, PT ",,5,2,51200,1638400,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
152,00000013 2fa94170,@!P0 BRA 0x132fa94000 ,,11,5,51200,1228800,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
153,00000013 2fa94180,"     IMAD.MOV.U32 R4, RZ, RZ, c[0x0][0x18c] ",,14,10,12800,409600,,,,,,,,0,0,0,0,0,11,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
154,00000013 2fa94190,"     IMAD R16, R16, c[0x0][0x18c], RZ ",,0,0,12800,409600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,00000013 2fa941a0,"     IMAD.WIDE.U32 R2, R12, c[0x0][0x18c], RZ ",,0,0,12800,409600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,00000013 2fa941b0,"     ISETP.GE.AND P0, PT, R4, 0x1, PT ",,2,0,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,00000013 2fa941c0,"     IMAD R37, R15, R12, R16 ",,2,2,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
158,00000013 2fa941d0,"     IMAD.IADD R37, R3, 0x1, R37 ",,0,0,12800,409600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
